Origin,Origin_coordinates,Origin_code,Destination,Destination_coordinates,Dest_code,Road,Distance,AvgDurationm,Duration_min(minutes),Duration_max(minutes),Date,Time,Timestamp,Distance(KMs)
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Kothagua X road,"17.45842, 78.366142",KGXR,Hitech City Main Rd and Hitech City Rd,3087,8,5,12,9/15/2022,8 to 10 AM,1663230600,3.1 km
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Kothagua X road,"17.45842, 78.366142",KGXR,Hitech City Rd,3152,8,5,12,9/15/2022,8 to 10 AM,1663230600,3.2 km
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Cyber towers,"17.4507092, 78.3813335",CT,Hitech City Main Rd,1685,6,4,8,9/15/2022,8 to 10 AM,1663230600,1.7 km
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,DLF Cyber city gachibowli,"17.4477193, 78.3634998",DLFCT,Mindspace Rd,3179,9,7,14,9/15/2022,8 to 10 AM,1663230600,3.2 km
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,DLF Cyber city gachibowli,"17.4477193, 78.3634998",DLFCT,Gachibowli - Miyapur Rd,4200,12,8,18,9/15/2022,8 to 10 AM,1663230600,4.2 km
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Waverock Bus station,"17.418422, 78.343454",WAVBTS,ISB Rd,8929,20,14,26,9/15/2022,8 to 10 AM,1663230600,8.9 km
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Waverock Bus station,"17.418422, 78.343454",WAVBTS,Narsing Nanakramguda Service Rd,10887,22,16,28,9/15/2022,8 to 10 AM,1663230600,10.9 km
Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Waverock Bus station,"17.418422, 78.343454",WAVBTS,Hitech City Main Rd and Narsing Nanakramguda Service Rd,11211,20,16,28,9/15/2022,8 to 10 AM,1663230600,11.2 km
Durgam Cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Hitech City Main Rd,3406,8,6,12,9/15/2022,8 to 10 AM,1663230600,3.4 km
Durgam Cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Hitech City Rd and Hitech City Main Rd,4145,9,6,14,9/15/2022,8 to 10 AM,1663230600,4.1 km
Uppal Metro Station,"17.4000909, 78.5601753",UMS,"NSL Arena Tower-1,Uppal","17.4024933, 78.5464526",NSLAT,NH163,1731,5,4,7,9/15/2022,8 to 10 AM,1663230600,1.7 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Durgam Cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Durgam Cheruvu Rd/Inorbit Mall Rd,4550,16,12,26,9/15/2022,5 to 7 PM,1663266600,4.6 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Durgam Cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Vittal Rao Nagar Rd,4554,18,12,28,9/15/2022,5 to 7 PM,1663266600,4.6 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Durgam Cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Old Mumbai Hwy,6740,20,14,30,9/15/2022,5 to 7 PM,1663266600,6.7 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Hitechcity  MMTS,"17.4698751, 78.3851087",HCMTS,Kukatpally Housing Board - Hitech City Rd ,8402,30,24,45,9/15/2022,5 to 7 PM,1663266600,8.4 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Cyber towers,"17.4507092, 78.3813335",CT,Hitech City Main Rd,4161,18,12,28,9/15/2022,5 to 7 PM,1663266600,4.2 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Cyber towers,"17.4507092, 78.3813335",CT,Hitech City Rd,4400,18,12,28,9/15/2022,5 to 7 PM,1663266600,4.4 km
Jubilee Hills Checkpost,"17.430084, 78.422997",JHCP,Cyber towers,"17.4507092, 78.3813335",CT,Rd Number 36 and Hitech City Rd,6383,26,18,40,9/15/2022,5 to 7 PM,1663266600,6.4 km
Jubilee Hills Checkpost,"17.430084, 78.422997",JHCP,Cyber towers,"17.4507092, 78.3813335",CT,Rd Number 45 and Hitech City Rd,7032,26,18,45,9/15/2022,5 to 7 PM,1663266600,7.0 km
Jubilee Hills Checkpost,"17.430084, 78.422997",JHCP,Cyber towers,"17.4507092, 78.3813335",CT,Durgam Cheruvu Cable Bridge,8232,28,20,50,9/15/2022,5 to 7 PM,1663266600,8.2 km
Forum Sujana Mall,"17.4840645, 78.3890165",FSM,Cyber towers,"17.4507092, 78.3813335",CT,Kukatpally Housing Board - Hitech City Rd,4803,14,12,20,9/15/2022,5 to 7 PM,1663266600,4.8 km
Kothaguda X Road,"17.45842, 78.366142",KGXR,Cyber towers,"17.4507092, 78.3813335",CT,Hitech City Rd,3473,16,12,24,9/15/2022,5 to 7 PM,1663266600,3.5 km
Kothaguda X Road,"17.45842, 78.366142",KGXR,Cyber towers,"17.4507092, 78.3813335",CT,Gachibowli - Miyapur Rd and Hitech City Rd,3279,16,12,26,9/15/2022,5 to 7 PM,1663266600,3.3 km
Kothaguda X Road,"17.45842, 78.366142",KGXR,Cyber towers,"17.4507092, 78.3813335",CT,Mindspace Rd and Hitech City Main Rd,4991,20,14,30,9/15/2022,5 to 7 PM,1663266600,5.0 km
Durgam Cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Raheja Mind Space,"17.4392033, 78.37724299999999",Raheja,Huda Techno Enclave Rd,2145,9,6,16,9/15/2022,5 to 7 PM,1663266600,2.1 km
Durgam Cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Raheja Mind Space,"17.4392033, 78.37724299999999",Raheja,Hitech City Rd and Hitech City Main Rd,3271,14,8,22,9/15/2022,5 to 7 PM,1663266600,3.3 km
"Decathlon junction,Gachibowli","17.446251399999998, 78.3637803",DCJG,Raheja Mind Space,"17.4392033, 78.37724299999999",Raheja,Mindspace Rd,2943,14,9,20,9/15/2022,5 to 7 PM,1663266600,2.9 km
"Decathlon junction,Gachibowli","17.446251399999998, 78.3637803",DCJG,Raheja Mind Space,"17.4392033, 78.37724299999999",Raheja,Gachibowli - Miyapur Rd and Mindspace Rd,3527,14,9,20,9/15/2022,5 to 7 PM,1663266600,3.5 km
"Decathlon junction,Gachibowli","17.446251399999998, 78.3637803",DCJG,Raheja Mind Space,"17.4392033, 78.37724299999999",Raheja,Gachibowli Rd/Old Mumbai Hwy,4426,16,10,28,9/15/2022,5 to 7 PM,1663266600,4.4 km
Gopanapalli Thanda Junction,"17.447400899999998, 78.3054143",GPTJ,Waverock Bus station,"17.418422, 78.343454",WAVBTS,Wipro Circle Rd and Rd Number 2,6191,18,12,28,9/15/2022,5 to 7 PM,1663266600,6.2 km
Kokapet Toll Plaza,"17.4071788, 78.3302563",KPTP,Waverock Bus station,"17.418422, 78.343454",WAVBTS,ISB Rd,3226,9,6,14,9/15/2022,5 to 7 PM,1663266600,3.2 km
DLF Cyber city gachibowli,"17.4477696, 78.35396",DLFCT,Waverock Bus station,"17.418422, 78.343454",WAVBTS,ISB Rd and Rd Number 2,4650,14,9,24,9/15/2022,5 to 7 PM,1663266600,4.6 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Gachibowli Rd/Old Mumbai Hwy,2476,10,7,18,9/15/2022,5 to 7 PM,1663266600,2.5 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Hitech City Main Rd,3026,12,8,18,9/15/2022,5 to 7 PM,1663266600,3.0 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Gachibowli- Biodiversity Flyover - I and Hitech City Main Rd,3571,14,9,20,9/15/2022,5 to 7 PM,1663266600,3.6 km
Kothaguda X Road,"17.45842, 78.366142",KGXR,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Gachibowli - Miyapur Rd and Mindspace Rd,3306,12,9,18,9/15/2022,5 to 7 PM,1663266600,3.3 km
Cyber towers,"17.4507092, 78.3813335",CT,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Hitech City Main Rd,2366,10,7,18,9/15/2022,5 to 7 PM,1663266600,2.4 km
"DLF Rd junction,Gachibowli - Miyapur","17.4477193, 78.3634998",DLFCT,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Mindspace Rd,2430,9,7,14,9/15/2022,5 to 7 PM,1663266600,2.4 km
"DLF Rd junction,Gachibowli - Miyapur","17.4477193, 78.3634998",DLFCT,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Mindspace Rd and Hitech City Rd,2930,12,8,18,9/15/2022,5 to 7 PM,1663266600,2.9 km
Waverock Bus station,"17.418422, 78.343454",WAVBTS,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,ISB Rd,8259,26,18,40,9/15/2022,5 to 7 PM,1663266600,8.3 km
Waverock Bus station,"17.418422, 78.343454",WAVBTS,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Khajaguda - Nanakramguda Rd,8197,26,18,40,9/15/2022,5 to 7 PM,1663266600,8.2 km
Waverock Bus station,"17.418422, 78.343454",WAVBTS,Raidurg Metro Station,"17.4420795, 78.37713509999999",RDMTR,Nehru Outer Ring Rd,8771,26,20,45,9/15/2022,5 to 7 PM,1663266600,8.8 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Durgam cheruvu Metro station,"17.442771, 78.38751429999999",DCHM,Durgam Cheruvu Rd/Inorbit Mall Rd,4550,16,12,26,9/15/2022,5 to 7 PM,1663266600,4.6 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Durgam cheruvu Metro station,"17.442771, 78.38751429999999",DCHM,Vittal Rao Nagar Rd,4554,18,12,28,9/15/2022,5 to 7 PM,1663266600,4.6 km
Bio Diversity Junction,"17.429071, 78.3764762",BDJG,Durgam cheruvu Metro,"17.442771, 78.38751429999999",DCHM,Old Mumbai Hwy,6740,20,14,30,9/15/2022,5 to 7 PM,1663266600,6.7 km
"NSL Arena Tower-1,Uppal","17.4024933, 78.5464526",NSLAT,Uppal metro station,"17.4000909, 78.5601753",UMS,NH163 and Inner Ring Rd,2147,7,5,10,9/15/2022,5 to 7 PM,1663266600,2.1 km
"NSL Arena Tower-1,Uppal","17.4024933, 78.5464526",NSLAT,Uppal metro station,"17.4000909, 78.5601753",UMS,RGI Stadium Rd and Inner Ring Rd,2674,8,6,12,9/15/2022,5 to 7 PM,1663266600,2.7 km
Hitech Shilparamam Bus Station,"17.4543,78.3762",HSBS,Osi Digital,"17.451871733124776, 78.37032556864199",OSI,Hitech city main road,2500,10,5,17,9/19/2022,8 to 10 AM,1663574400,2.5km
Hitech City Road Bus Station,"17.4435,78.3772",HCRBS,Radiant Digital solution,"17.44562065840929, 78.38584182777848",RDS,Hitech city road,2500,8,4,16,9/19/2022,8 to 10 AM,1663574400,2.5km
Hitech City MMTS,"17.4699,78.3851",HCMMTS,Velluta Technologies,"17.47069409129836, 78.38345489547822",VT,Kukatpally Housing Board,1700,10,5,15,9/19/2022,8 to 10 AM,1663574400,1.7km
Hitech City MMTS,"17.4699,78.3851",HCMMTS,Cyber Tower,"17.4507,78.3813",CT,Hitech city & Housing Board,3900,20,15,30,9/19/2022,8 to 10 AM,1663574400,3.9km
Hitex Kaman Bus Station,"17.4568,78.3771",HKBS,Google Omega C,"17.459,78.3739",GOC,Hitech city road,2100,10,5,15,9/19/2022,8 to 10 AM,1663574400,2.1km
Hitex Kaman Bus Station,"17.4568,78.3771",HKBS,Dell International Services,"17.4484,78.3734",DIS,Hitech city road,2000,10,5,15,9/19/2022,8 to 10 AM,1663574400,2km
Osi Digital,"17.451871733124776, 78.37032556864199",OSI,Hitech Shilparamam,"17.4543,78.3762",HSBS,Hitech city main road,2500,10,5,17,9/19/2022,5 to 7 PM,1663606800,2.5km
Radiant Digital solution,"17.44562065840929, 78.38584182777848",RDS,Hitech City Road,"17.4435,78.3772",HCRBS,Hitech city road,2500,8,4,16,9/19/2022,5 to 7 PM,1663606800,2.5km
Velluta Technologies,"17.47069409129836, 78.38345489547822",VT,Hitech City MMTS,"17.4699,78.3851",HCMMTS,Kukatpally Housing Board,1700,10,5,15,9/19/2022,5 to 7 PM,1663606800,1.7km
Cyber Tower,"17.4507,78.3813",CT,Hitech City MMTS,"17.4699,78.3851",HCMMTS,Hitech city & Housing Board,3900,20,15,30,9/19/2022,5 to 7 PM,1649782800,3.9km
Google Omega C,"17.459,78.3739",GOC,Hitex Kaman,"17.4568,78.3771",HKBS,Hitech city road,2100,10,5,15,9/19/2022,5 to 7 PM,1649782800,2.1km
Dell International Services,"17.4484,78.3734",DIS,Hitex Kaman,"17.4568,78.3771",HKBS,Hitech city road,2000,10,5,15,9/19/2022,5 to 7 PM,1649782800,2km
"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,"Phase 2, HITEC City, Hyderabad","17.4462023, 78.3742678",PH2HC,Gachibowli - Miyapur Rd,7548,18,14,26,9/22/2022, 8 TO 10AM,1663833600,7.5 km
"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,"Phase 2, HITEC City, Hyderabad","17.4462023, 78.3742678",PH2HC,Kukatpally Housing Board - Hitech City Rd,9169,20,16,26,9/22/2022, 8 TO 10AM,1663833600,9.2 km
"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,"Phase 2, HITEC City, Hyderabad","17.4462023, 78.3742678",PH2HC,Botanical Garden Rd,9678,24,18,35,9/22/2022, 8 TO 10AM,1663833600,9.7 km
"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,Raheja Mindspace Building 12d,"17.436641899999998, 78.3859324",RMSB,Kukatpally Housing Board - Hitech City Rd,9045,20,16,26,9/22/2022, 8 TO 10AM,1663833600,9.0 km
"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,Raheja Mindspace Building 12d,"17.436641899999998, 78.3859324",RMSB,Botanical Garden Rd,9964,26,18,35,9/22/2022, 8 TO 10AM,1663833600,10.0 km
"hafizapeta station road,hyderabad","17.4832841, 78.3622197",HPSR,"C9CF+RRP, Madhura Nagar Colony, Gachibowli, Hyderabad","17.422078199999998, 78.3745856",RRPG,Kukatpally Housing Board - Hitech City Rd,12120,28,24,35,9/22/2022, 8 TO 10AM,1663833600,12.1 km
"hafizapeta station road,hyderabad","17.4832841, 78.3622197",HPSR,"C9CF+RRP, Madhura Nagar Colony, Gachibowli, Hyderabad","17.422078199999998, 78.3745856",RRPG,Gachibowli Rd/Old Mumbai Hwy,12289,35,24,45,9/22/2022, 8 TO 10AM,1663833600,12.3 km
"hafizapeta station road,hyderabad","17.4832841, 78.3622197",HPSR,"C9CF+RRP, Madhura Nagar Colony, Gachibowli, Hyderabad","17.422078199999998, 78.3745856",RRPG,Main Rd and Gachibowli Rd/Old Mumbai Hwy,13594,35,26,45,9/22/2022, 8 TO 10AM,1663833600,13.6 km
"Hitechcity mmts,hyderabad","17.4698751, 78.3851087",HCMMTS,"Biodivercity Junction,Hyderabad","17.429071, 78.3764762",BDCJ,Kukatpally Housing Board Rd and Kukatpally Housing Board - Hitech City Rd,6966,14,12,18,9/22/2022, 8 TO 10AM,1663833600,7.0 km
"Chandanagar mmts,hyderabad ","17.487335299999998, 78.3327197",CNMMTS,"Kothagua X road,Hyderabad","17.45842, 78.366142",KGXR,Manjeera Pipeline Rd and Gachibowli - Miyapur Rd,7108,20,16,28,9/22/2022, 8 TO 10AM,1663833600,7.1 km
"Chandanagar mmts,hyderabad ","17.487335299999998, 78.3327197",CNMMTS,"Kothagua X road,Hyderabad","17.45842, 78.366142",KGXR,Botanical Garden Rd,8573,24,18,35,9/22/2022, 8 TO 10AM,1663833600,8.6 km
"Chandanagar mmts,hyderabad ","17.487335299999998, 78.3327197",CNMMTS,"Kothagua X road,Hyderabad","17.45842, 78.366142",KGXR,Gachibowli Rd/Old Mumbai Hwy,10320,24,18,35,9/22/2022, 8 TO 10AM,1663833600,10.3 km
"Phase 2, HITEC City, Hyderabad","17.4462023, 78.3742678",PH2HC,"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,"Kukatpally Housing Board - Hitech City Rd, Kukatpally Housing Board Rd and Hafeezpet Rd",7539,20,16,26,9/22/2022, 5 TO 7PM,1663865999,7.5 km
"Phase 2, HITEC City, Hyderabad","17.4462023, 78.3742678",PH2HC,"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,Gachibowli - Miyapur Rd,6860,22,16,35,9/22/2022, 5 TO 7PM,1663865999,6.9 km
Raheja Mindspace Building 12d,"17.436641899999998, 78.3859324",RMSB,"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,Kukatpally Housing Board - Hitech City Rd and Kukatpally Housing Board Rd,8991,28,22,40,9/22/2022, 5 TO 7PM,1663865999,9.0 km
"IBM Raidurgam, Madhura Nagar Colony, Gachibowli, Hyderabad","17.422078199999998, 78.3745856",RRPG,"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,Hitech City Main Rd and Kukatpally Housing Board Rd,9927,26,22,35,9/22/2022, 5 TO 7PM,1663865999,9.9 km
"IBM Raidurgam, Madhura Nagar Colony, Gachibowli, Hyderabad","17.422078199999998, 78.3745856",RRPG,"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,Gachibowli - Miyapur Rd,9427,35,24,45,9/22/2022, 5 TO 7PM,1663865999,9.4 km
"IBM Raidurgam, Madhura Nagar Colony, Gachibowli, Hyderabad","17.422078199999998, 78.3745856",RRPG,"hafizapeta station road,hyderabad ","17.4832841, 78.3622197",HPSR,Hitech City Main Rd and Gachibowli - Miyapur Rd,10087,35,24,45,9/22/2022, 5 TO 7PM,1663865999,10.1 km
"Biodivercity Junction,Hyderabad","17.429071, 78.3764762",BDCJ,"Hitechcity mmts,hyderabad","17.4698751, 78.3851087",HCMMTS,Kukatpally Housing Board - Hitech City Rd and Kukatpally Housing Board Rd,8402,24,18,35,9/22/2022, 5 TO 7PM,1663865999,8.4 km
"Biodivercity Junction,Hyderabad","17.429071, 78.3764762",BDCJ,"Hitechcity mmts,hyderabad","17.4698751, 78.3851087",HCMMTS,Durgam Cheruvu Rd/Inorbit Mall Rd,9405,30,22,50,9/22/2022, 5 TO 7PM,1663865999,9.4 km
"Biodivercity Junction,Hyderabad","17.429071, 78.3764762",BDCJ,"Hitechcity mmts,hyderabad","17.4698751, 78.3851087",HCMMTS,Madhapur Rd,10904,30,22,45,9/22/2022, 5 TO 7PM,1663865999,10.9 km
"Kothagua X road,Hyderabad","17.45842, 78.366142",KGXR,"Chandanagar mmts,hyderabad ","17.487335299999998, 78.3327197",CNMMTS,Botanical Garden Rd,7469,22,16,35,9/22/2022, 5 TO 7PM,1663865999,7.5 km
"Kothagua X road,Hyderabad","17.45842, 78.366142",KGXR,"Chandanagar mmts,hyderabad ","17.487335299999998, 78.3327197",CNMMTS,Botanical Garden Rd and Gachibowli Rd/Old Mumbai Hwy,8132,22,16,35,9/22/2022, 5 TO 7PM,1663865999,8.1 km
"Kothagua X road,Hyderabad","17.45842, 78.366142",KGXR,"Chandanagar mmts,hyderabad ","17.487335299999998, 78.3327197",CNMMTS,Gachibowli - Miyapur Rd and Manjeera Pipeline Rd,7467,24,18,40,9/22/2022, 5 TO 7PM,1663865999,7.5 km
